ons_id,result,first_party,second_party,electorate,valid_votes,invalid_votes,majority,con,lab,ld,brexit,green,snp,pc,dup,sf,sdlp,uup,alliance,other,other_winner
E14000982,Lab hold,Lab,Con,72680,43476,104,2964,15372,18336,3025,5047,1212,0,0,0,0,0,0,0,484,0
E14000983,Con hold,Con,LD,81349,58654,237,18349,34358,5407,16009,0,2252,0,0,0,0,0,0,0,628,0
E14000984,Con hold,Con,LD,71779,50487,211,8351,25235,7200,16884,0,1168,0,0,0,0,0,0,0,0,0
E14000985,Con hold,Con,Lab,75638,52325,312,19272,31604,12332,6358,0,2031,0,0,0,0,0,0,0,0,0
W07000048,Lab hold,Lab,Con,58450,33579,66,7970,9435,17405,1409,2842,583,0,1905,0,0,0,0,0,0,0
W07000047,Lab hold,Lab,Con,57078,35830,127,8116,10377,18493,2993,1983,0,0,1984,0,0,0,0,0,0,0
E14000986,Con hold,Con,Lab,71572,46056,154,19634,30542,10908,2426,0,935,0,0,0,0,0,0,0,1245,0
E14000987,Con hold,Con,Lab,69018,48967,179,17387,28277,10890,7712,0,2088,0,0,0,0,0,0,0,0,0
E14000988,Con hold,Con,LD,88676,63733,192,11700,34164,4715,22464,0,0,0,0,0,0,0,0,0,2390,0
E14000989,Con hold,Con,Lab,68921,42825,224,10941,25546,14605,2674,0,0,0,0,0,0,0,0,0,0,0
